Time,Emotion
2025-04-13 16:27:05,neutral
2025-04-13 16:27:05,neutral
2025-04-13 16:27:06,neutral
2025-04-13 16:27:06,neutral
2025-04-13 16:27:06,neutral
2025-04-13 16:27:06,neutral
2025-04-13 16:27:06,neutral
2025-04-13 16:27:07,neutral
2025-04-13 16:27:07,neutral
2025-04-13 16:27:07,neutral
2025-04-13 16:27:07,neutral
2025-04-13 16:27:07,neutral
2025-04-13 16:27:08,neutral
2025-04-13 16:27:08,neutral
2025-04-13 16:27:08,neutral
2025-04-13 16:27:08,neutral
2025-04-13 16:27:08,neutral
2025-04-13 16:27:09,neutral
2025-04-13 16:27:09,neutral
2025-04-13 16:27:09,neutral
2025-04-13 16:27:09,neutral
2025-04-13 16:27:09,neutral
2025-04-13 16:27:09,neutral
2025-04-13 16:27:10,neutral
2025-04-13 16:27:10,neutral
2025-04-13 16:27:10,neutral
2025-04-13 16:27:10,neutral
2025-04-13 16:27:11,happy
2025-04-13 16:27:11,happy
2025-04-13 16:27:11,happy
2025-04-13 16:27:11,happy
2025-04-13 16:27:11,neutral
2025-04-13 16:27:12,neutral
2025-04-13 16:27:12,neutral
2025-04-13 16:27:12,neutral
2025-04-13 16:27:13,neutral
2025-04-13 16:27:13,neutral
2025-04-13 16:27:14,neutral
2025-04-13 16:27:14,neutral
2025-04-13 16:27:14,sad
2025-04-13 16:27:14,sad
2025-04-13 16:27:14,sad
2025-04-13 16:27:14,neutral
2025-04-13 16:27:15,neutral
2025-04-13 16:27:15,sad
2025-04-13 16:27:15,neutral
2025-04-13 16:27:15,neutral
2025-04-13 16:27:15,sad
2025-04-13 16:27:15,neutral
2025-04-13 16:27:16,neutral
2025-04-13 16:27:16,sad
2025-04-13 16:27:16,neutral
2025-04-13 16:27:16,neutral
2025-04-13 16:27:16,neutral
2025-04-13 16:27:16,neutral
2025-04-13 16:27:16,neutral
2025-04-13 16:27:17,neutral
2025-04-13 16:27:17,neutral
2025-04-13 16:27:17,neutral
2025-04-13 16:27:17,happy
2025-04-13 16:27:17,happy
2025-04-13 16:27:17,neutral
2025-04-13 16:27:17,neutral
2025-04-13 16:27:17,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:18,neutral
2025-04-13 16:27:19,neutral
2025-04-13 16:27:19,neutral
2025-04-13 16:27:19,neutral
2025-04-13 16:27:19,neutral
2025-04-13 16:27:19,neutral
2025-04-13 16:27:19,neutral
2025-04-13 16:27:19,happy
2025-04-13 16:27:19,happy
2025-04-13 16:27:20,neutral
2025-04-13 16:27:20,happy
2025-04-13 16:27:20,happy
2025-04-13 16:27:20,happy
2025-04-13 16:27:20,happy
2025-04-13 16:27:20,happy
2025-04-13 16:27:20,happy
2025-04-13 16:27:20,happy
2025-04-13 16:27:21,happy
2025-04-13 16:27:21,happy
2025-04-13 16:27:21,happy
2025-04-13 16:27:21,happy
2025-04-13 16:27:21,happy
2025-04-13 16:27:21,happy
2025-04-13 16:27:21,neutral
2025-04-13 16:27:21,neutral
2025-04-13 16:27:22,happy
2025-04-13 16:27:22,happy
2025-04-13 16:27:22,neutral
2025-04-13 16:27:22,neutral
2025-04-13 16:27:22,neutral
2025-04-13 16:27:22,neutral
2025-04-13 16:27:22,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:23,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:24,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:25,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:26,neutral
2025-04-13 16:27:27,neutral
2025-04-13 16:27:27,neutral
2025-04-13 16:27:27,neutral
2025-04-13 16:27:27,neutral
2025-04-13 16:27:27,happy
2025-04-13 16:27:27,neutral
2025-04-13 16:27:27,neutral
2025-04-13 16:27:27,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:28,neutral
2025-04-13 16:27:29,neutral
2025-04-13 16:27:29,neutral
2025-04-13 16:27:29,neutral
2025-04-13 16:27:29,neutral
2025-04-13 16:27:29,neutral
2025-04-13 16:27:29,neutral
2025-04-13 16:27:29,happy
2025-04-13 16:27:29,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:30,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:31,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:32,neutral
2025-04-13 16:27:33,neutral
2025-04-13 16:27:33,happy
2025-04-13 16:27:33,neutral
2025-04-13 16:27:33,neutral
2025-04-13 16:27:33,neutral
2025-04-13 16:27:33,happy
2025-04-13 16:27:33,neutral
2025-04-13 16:27:33,neutral
2025-04-13 16:27:34,sad
2025-04-13 16:27:34,sad
2025-04-13 16:27:34,sad
2025-04-13 16:27:34,happy
2025-04-13 16:27:34,sad
2025-04-13 16:27:34,neutral
2025-04-13 16:27:35,sad
2025-04-13 16:27:35,neutral
2025-04-13 16:27:35,neutral
2025-04-13 16:27:35,neutral
2025-04-13 16:27:35,neutral
2025-04-13 16:27:35,sad
2025-04-13 16:27:35,neutral
2025-04-13 16:27:35,neutral
2025-04-13 16:27:35,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:36,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:37,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:38,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:39,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:40,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:41,neutral
2025-04-13 16:27:42,neutral
2025-04-13 16:27:42,neutral
2025-04-13 16:27:42,neutral
